--------------------------------------------
       CYBER INFILTRATOR - HISTORIAL
--------------------------------------------
Fecha y hora : 25/05/2026 11:20:41
Resultado    : VICTORIA
Turnos       : 148
Mov restantes: 37
Puertos      : 3 / 3
--------------------------------------------
           SECUENCIA DE MOVIMIENTOS
--------------------------------------------
    1. Turno 1 | DERECHA  →  pos(0,1)  | MOV restantes: 399  | Puertos: 0/3
    2. Turno 2 | IZQUIERDA  →  pos(0,0)  | MOV restantes: 398  | Puertos: 0/3
    3. Turno 3 | ABAJO  →  pos(1,0)  | MOV restantes: 397  | Puertos: 0/3
    4. Turno 4 | DERECHA  →  pos(1,1)  | MOV restantes: 396  | Puertos: 0/3
    5. Turno 5 | DERECHA  →  pos(1,2)  | MOV restantes: 395  | Puertos: 0/3
    6. Turno 6 | DERECHA  →  pos(1,3)  | MOV restantes: 394  | Puertos: 0/3
    7. Turno 7 | DERECHA  →  pos(1,4)  | MOV restantes: 393  | Puertos: 0/3
    8. Turno 8 | ARRIBA  →  pos(0,4)  | MOV restantes: 392  | Puertos: 0/3
    9. Turno 9 | DERECHA  →  pos(0,5)  | MOV restantes: 391  | Puertos: 0/3
   10. Turno 10 | ABAJO  →  pos(1,5)  | MOV restantes: 390  | Puertos: 0/3
   11. Turno 11 | ABAJO  →  pos(2,5)  | MOV restantes: 389  | Puertos: 0/3
   12. Turno 12 | ABAJO  →  pos(3,5)  | MOV restantes: 388  | Puertos: 0/3
   13. Turno 13 | IZQUIERDA  →  pos(3,4)  | MOV restantes: 387  | Puertos: 0/3
   14. Turno 14 | ABAJO  →  pos(4,4)  | MOV restantes: 386  | Puertos: 0/3
   15. Turno 15 | DERECHA  →  pos(4,5)  | MOV restantes: 385  | Puertos: 0/3
   16. Turno 16 | DERECHA  →  pos(4,6)  | MOV restantes: 384  | Puertos: 0/3
   17. Turno 17 | DERECHA  →  pos(4,7)  | MOV restantes: 383  | Puertos: 0/3
   18. Turno 18 | ARRIBA  →  pos(3,7)  | MOV restantes: 382  | Puertos: 0/3
   19. Turno 19 | DERECHA  →  pos(3,8)  | MOV restantes: 381  | Puertos: 0/3
   20. Turno 20 | ABAJO  →  pos(4,8)  | MOV restantes: 380  | Puertos: 0/3
   21. Turno 21 | IZQUIERDA  →  pos(4,7)  | MOV restantes: 379  | Puertos: 0/3
   22. Turno 22 | ABAJO  →  pos(5,7)  | MOV restantes: 378  | Puertos: 0/3
   23. Turno 23 | ARRIBA  →  pos(4,7)  | MOV restantes: 377  | Puertos: 0/3
   24. Turno 24 | DERECHA  →  pos(4,8)  | MOV restantes: 376  | Puertos: 0/3
   25. Turno 25 | ABAJO  →  pos(5,8)  | MOV restantes: 375  | Puertos: 0/3
   26. Turno 26 | IZQUIERDA  →  pos(5,7)  | MOV restantes: 374  | Puertos: 0/3
   27. Turno 27 | ABAJO  →  pos(6,7)  | MOV restantes: 373  | Puertos: 0/3
   28. Turno 28 | DERECHA  →  pos(6,8)  | MOV restantes: 372  | Puertos: 0/3
   29. Turno 29 | DERECHA  →  pos(6,9)  | MOV restantes: 371  | Puertos: 0/3
   30. Turno 30 | DERECHA  →  pos(6,10)  | MOV restantes: 370  | Puertos: 0/3
   31. Turno 31 | DERECHA  →  pos(6,11)  | MOV restantes: 369  | Puertos: 0/3
   32. Turno 32 | DERECHA  →  pos(6,12)  | MOV restantes: 368  | Puertos: 0/3
   33. Turno 33 | ARRIBA  →  pos(5,12)  | MOV restantes: 367  | Puertos: 0/3
   34. Turno 34 | DERECHA  →  pos(5,13)  | MOV restantes: 366  | Puertos: 0/3
   35. Turno 35 | ABAJO  →  pos(6,13)  | MOV restantes: 365  | Puertos: 0/3
   36. Turno 36 | ABAJO  →  pos(7,13)  | MOV restantes: 364  | Puertos: 0/3
   37.           └─ SCANNER detectado  -MOV: -18
   38. Turno 37 | ABAJO  →  pos(8,13)  | MOV restantes: 345  | Puertos: 0/3
   39. Turno 38 | ABAJO  →  pos(9,13)  | MOV restantes: 344  | Puertos: 0/3
   40. Turno 39 | IZQUIERDA  →  pos(9,12)  | MOV restantes: 343  | Puertos: 0/3
   41. Turno 40 | ABAJO  →  pos(10,12)  | MOV restantes: 342  | Puertos: 0/3
   42. Turno 41 | DERECHA  →  pos(10,13)  | MOV restantes: 341  | Puertos: 0/3
   43. Turno 42 | DERECHA  →  pos(10,14)  | MOV restantes: 340  | Puertos: 0/3
   44. Turno 43 | DERECHA  →  pos(10,15)  | MOV restantes: 339  | Puertos: 0/3
   45. Turno 44 | ARRIBA  →  pos(9,15)  | MOV restantes: 338  | Puertos: 0/3
   46. Turno 45 | DERECHA  →  pos(9,16)  | MOV restantes: 337  | Puertos: 0/3
